SmartWatch Images	SmartWatch Names	SmartWatch Prices	SmartWatch Details
https://rukminim1.flixcart.com/image/312/312/l01blow0/smartwatch/b/k/a/-original-imagbwzjjhwvyfsn.jpeg?q=70	DIZO Watch R AMOLED with 45 mm Dial Size (by realme techLife)	₹3,299	1.3'' Ultra Sharp AMOLED Screen with Always On Display45mm Dial with Premium Metal Frame150+ Stylish Watch Faces |5ATM Water Resistance |110+ Sports ModesHealth Monitoring of heart rate, SpO2, Sleep etc.12-Day Battery Life and 2h Full ChargeSmart control of music, camera, calls, notifications etc.DIZO App 2.0 with GPS TrackingTouchscreenFitness & OutdoorBattery Runtime: Upto 10 daysCarry in to service centre or reach out to us at service.in@dizo.net or Toll free:1800 843 3030.
https://rukminim1.flixcart.com/image/312/312/l41n2q80/smartwatch/c/t/l/-original-imagffyzhv7yx9yx.jpeg?q=70	"boAt Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display Smartwatch"	₹3,499	Bluetooth Calling Smartwatch: Call On The Go | Voice Assistant: Connect on Command | 43mm(1.69”) HD Display | 60+ Sports Modes | Heart Rate and SpO2 Monitoring | Multiple Cloud Watch Faces | IP68: Dust, Sweat & Splash ResistantWith Call FunctionTouchscreenFitness & Outdoor1 Year Warranty from the Date of Purchase
https://rukminim1.flixcart.com/image/312/312/kxnl6kw0/smartwatch/x/s/l/1-3-android-ios-dw2120-dizo-no-original-imaga2eh6ffyyydu.jpeg?q=70	DIZO Watch R AMOLED with 45 mm Dial Size (by realme techLife)	₹3,299	1.3inch Amoled DisplayAlways On Display150+ Stylish Watch Faces110+ Sports Mode5 ATM Water ResistancePremium Metal FrameHealth MonitoringTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days12 month from the date of purchase
https://rukminim1.flixcart.com/image/312/312/kzzw5u80/smartwatch/g/q/h/1-3-android-ios-dw2120-dizo-no-original-imagbvwrrbh8xnah.jpeg?q=70	DIZO Watch R AMOLED with 45 mm Dial Size (by realme techLife)	₹3,299	1.3'' Ultra Sharp AMOLED Screen with Always On Display45mm Dial with Premium Metal Frame150+ Stylish Watch Faces |5ATM Water Resistance |110+ Sports ModesHealth Monitoring of heart rate, SpO2, Sleep etc.12-Day Battery Life and 2h Full ChargeSmart control of music, camera, calls, notifications etc.DIZO App 2.0 with GPS TrackingTouchscreenFitness & OutdoorBattery Runtime: Upto 10 daysCarry in to service centre or reach out to us at service.in@dizo.net or Toll free:1800 843 3030.
https://rukminim1.flixcart.com/image/312/312/l1nwnm80/smartwatch/u/7/x/1-3-android-ios-bsw034-fire-boltt-no-original-imagd6hfyr7dzggb.jpeg?q=70	Fire-Boltt Hurricane Smartwatch	₹1,999	1.3 Color HD Full Touch Screen with 240*240 pixel resolution2.5D Curved Glass for Best Retina HD Color Display with Automatic Motion RecognitionSpO2 Monitoring, Continuous Heart Rate Tracking|30 Sports Modes | IP67 Water ResistanceSuperior Battery Life 7 Days & Standby Time 15 DaysFind Phone Feature - Use this feature to find your phone|Stay Socially Connected with all Notification AlertsTouchscreenFitness & Outdoor, Health & MedicalBattery Runtime: Upto 15 daysContact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.
https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/smartwatch/c/a/w/-original-imagcg2ecz4u8sgd.jpeg?q=70	boAt Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates Smartwatch	₹1,999	"42mm(1.69"") HD DisplayFast Charge: 30 Mins= Full ChargeLive Cricket ScoresHealth Ecosystem with boAt Crest app|24H Heart Rate, SpO2 and Temperature MonitoringIP67 Dust, Sweat and Splash Resistant|Supports Google Fit &amp; Apple HealthTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Warranty from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/smartwatch/8/i/n/-original-imagd7d44w2vfjuj.jpeg?q=70	Fire-Boltt Hurricane Smartwatch	₹1,999	1.3 Color HD Full Touch Screen with 240*240 pixel resolution2.5D Curved Glass for Best Retina HD Color Display with Automatic Motion RecognitionSpO2 Monitoring, Continuous Heart Rate Tracking|30 Sports Modes | IP67 Water ResistanceSuperior Battery Life 7 Days & Standby Time 15 DaysFind Phone Feature - Use this feature to find your phone|Stay Socially Connected with all Notification AlertsTouchscreenFitness & Outdoor, Health & MedicalBattery Runtime: Upto 15 daysContact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.
https://rukminim1.flixcart.com/image/312/312/kyhlfgw0/smartwatch/5/l/q/-original-imagaptb3zkpufkh.jpeg?q=70	Fire-Boltt Ninja Pro Max Smartwatch	₹1,799	"1.6"" Large Color LCD Full Touch Screen with 2.5D Curved Glass and 240*288 pixel ResolutionUltra Thin 9.5mm and IP68 Water Resistance27 Sports Mode | Large 8 Days Battery PowerSmart Health Tracking withSpO2, Heart Rate, Sleep Monitoring100 + Cloud Faces to match each style | All in One Social Update NotificationsTouchscreenFitness & Outdoor, Health & MedicalBattery Runtime: Upto 8 days1 Year Warranty from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/x/n/z/-original-imaggtjvzzafsxuh.jpeg?q=70	Fire-Boltt Hulk 1.78 inch Amoled Bluetooth Calling with 120 sports modes Smartwatch	₹3,999	1.78 AMOLED Display Smartwatch Full Touch with 368*448 Pixel High Resolution| Bluetooth Calling Smartwatch | AI Voice Assistant to command your mobile phoneBuilt In Speaker & Mic to tune to your favourite songs and high quality call audio| 550 NITS Peak Brightness smartwatch| Multiple Watch Faces | IP67 Water Resistant smartwatchSmart Calculations on the go with built-in calculator | Smart Health Tracking Ecosystem (SpO2, Heart Rate, Breathe, Steps, Calorie)With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 daysCovers Manufacturing Defects
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/d/u/f/-original-imaghbgakwcqed9h.jpeg?q=70	boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch	₹2,999	1.69inch HD Display|550 Nits Brightness| 2.5D Curved Touch DisplayBluetooth Calling & Dialpad(Save upto 10 contacts)| Ultra Slim & Lightweight150+ Watch Faces| HR & SpO2 MonitoringIP68: Dust, Sweat & Splash ResistantWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Warranty from the Date of Purchase
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/6/q/g/-original-imaggtjvexwdrfep.jpeg?q=70	Fire-Boltt Hulk 1.78 inch Amoled Bluetooth Calling with 120 sports modes Smartwatch	₹3,999	1.78 AMOLED Display Smartwatch Full Touch with 368*448 Pixel High Resolution| Bluetooth Calling Smartwatch | AI Voice Assistant to command your mobile phoneBuilt In Speaker & Mic to tune to your favourite songs and high quality call audio| 550 NITS Peak Brightness smartwatch| Multiple Watch Faces | IP67 Water Resistant smartwatchSmart Calculations on the go with built-in calculator | Smart Health Tracking Ecosystem (SpO2, Heart Rate, Breathe, Steps, Calorie)With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 daysCovers Manufacturing Defects
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/c/v/i/-original-imaghteuugawguc7.jpeg?q=70	boAt Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge Smartwatch	₹3,499	Bluetooth Calling with Dial Pad1.78'' AMOLED Display60 Hz Refresh RateASAP Charge: Full Charge in 30 Mins700+ Active ModesHealth Ecosystem with boAt Crest AppIP68: Dust, Sweat and Splash ResistantWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Warranty from the Date of Purchase
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/i/k/c/-original-imaghudxyucmrmdb.jpeg?q=70	Pebble Cosmos Ultra 1.91 inch High Resolution Curved Display with Ultra-Thin Dial Smartwatch	₹2,999	1.91 inch High-Resolution Infinite Display with Curved Edges | 600 Nits Brightness| Answer and make calls with Bluetooth directly from your watch - Call, Message & Social Media NotificationBlood-oxygen monitoring (SPO2), 24*7 Heart rate monitoring, Sedentary alert| IP67 waterproof standard, AI Voice Assistant (Google & Siri)| Inbuilt 10+ watch faces and 100+ cloud-based watch faces | Information, Inbuilt gamesAlways on rotating display when charging | Social media contacts sharing by scanning QR Code| Active Rotating Crown, Calculator, Smart password screen lock, Stopwatch, WeatherBattery up to 5 days, Stand by up to 15 DaysWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days
https://rukminim1.flixcart.com/image/312/312/kgb5rbk0/smartwatch/n/z/3/436737-android-ios-sinnux-original-imafwk2mdsugmetg.jpeg?q=70	TXOR STORM M5 With Heart Rate, SPO2 & BP Monitor 35 mm Screen Black Smartwatch	₹629	TouchscreenFitness & OutdoorBattery Runtime: Upto 8 days6 Months | Manufacturing Defects
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/v/w/l/-original-imaggtp34d2e7vf2.jpeg?q=70	"Fire-Boltt Epic, 1.69"" HD Display with SPO2 Smartwatch"	₹1,999	"1.69"" HD Display with 2.5D Curved Glass | 240*280 Pixel High Resolution120 Sports Modes to Track with IP68 Water Resistant| Customised Wallpaper Option | Match Your DailyOutfit with 100+ Cloud FacesSmart Health Monitoring - Track SpO2, Heart Rate while your workoutSocial App Notifications & Reminders - Never miss important calls and updates| Remote control Camera & Player click numerous pictures on the goTouchscreenFitness & OutdoorBattery Runtime: Upto 7 daysCovers Manufacturing Defects"
https://rukminim1.flixcart.com/image/312/312/kzx1a4w0/smartwatch/a/v/m/-original-imagbtfvyu9bhvzq.jpeg?q=70	DIZO Watch 2 Sports (by realme TechLife)	₹1,799	"4.3 cm (1.69""), Bright Full Touch Screen110+ Sports ModeBlood Oxygen & Heart Rate Monitor5 ATM Water Resistance150+ Stylish Watch FacesTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days12 Month from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/l12h1u80/smartwatch/t/a/m/-original-imagcpjeejf6qcap.jpeg?q=70	GIONEE Ufit 6 Bluetooth Calling Metallic Frame Smartwatch	₹1,999	"Bluetooth Calling: Answer and make calls directly from your smartwatch.|Bluetooth Music: Listen to music through your smartwatch.
Quick Access: Access the dial pad, contacts, and recent calls with just one tap on the screen.
Big Display: 4.3cm (1.69) full-touch display|100+ Stylish Watch Faces|Wellness Modes: SpO2 Monitor, Heart Rate & Sleep Tracker
GBuddy App to track fitness with multiple sports modes.|IP68 Water Resistance
One-year warranty on the smartwatch and 9-month warranty on the strapWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 3 days1 Year Warranty on Smart Watch and 6 Months Warranty on Strap"
https://rukminim1.flixcart.com/image/312/312/l3ahpjk0/smartwatch/m/k/a/-original-imagegyhhxaszhn9.jpeg?q=70	boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch	₹1,999	42mm(1.69 inch) HD Display|2.5D Curved Display|550 Nits Brightness|Lightweight: 35 gmsMultiple Sports Modes: Walking, Running, Cycling, Climbing, Yoga, Basketball, Football, Badminton, Skipping & Swimming24H Heart Rate, SpO2 & Stress Monitoring|Sleep Tracker|Music & Camera ControlIP68 Dust, Sweat and Splash Resistant|Multiple Watch Face|Call, Text & Social Media NotificationsTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Warranty from the Date of Purchase
https://rukminim1.flixcart.com/image/312/312/l12h1u80/smartwatch/f/o/k/-original-imagcpjezymmwyhz.jpeg?q=70	GIONEE Ufit 6 Bluetooth Calling Metallic Frame Smartwatch	₹1,999	"Bluetooth Calling: Answer and make calls directly from your smartwatch.|Bluetooth Music: Listen to music through your smartwatch.
Quick Access: Access the dial pad, contacts, and recent calls with just one tap on the screen.
Big Display: 4.3cm (1.69) full-touch display|100+ Stylish Watch Faces|Wellness Modes: SpO2 Monitor, Heart Rate & Sleep Tracker
GBuddy App to track fitness with multiple sports modes.|IP68 Water Resistance
One-year warranty on the smartwatch and 8-month warranty on the strapWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 3 days1 Year Warranty on Smart Watch and 6 Months Warranty on Strap"
https://rukminim1.flixcart.com/image/312/312/l12h1u80/smartwatch/v/v/l/-original-imagcpjegbahdvkt.jpeg?q=70	GIONEE Ufit 6 Bluetooth Calling Metallic Frame Smartwatch	₹1,999	"Bluetooth Calling: Answer and make calls directly from your smartwatch.|Bluetooth Music: Listen to music through your smartwatch.
Quick Access: Access the dial pad, contacts, and recent calls with just one tap on the screen.
Big Display: 4.3cm (1.69) full-touch display|100+ Stylish Watch Faces|Wellness Modes: SpO2 Monitor, Heart Rate & Sleep Tracker
GBuddy App to track fitness with multiple sports modes.|IP68 Water Resistance
One-year warranty on the smartwatch and 6-month warranty on the strapWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 3 days1 Year Warranty on Smart Watch and 6 Months Warranty on Strap"
https://rukminim1.flixcart.com/image/312/312/l0igvww0/smartwatch/z/y/r/-original-imagcahh99jx6xgg.jpeg?q=70	realme TechLife Watch S100 1.69 HD Display with Temperature Sensor Smartwatch	₹1,999	4.3 cm (1.69 inch) TFT-LCD Super Bright HD Colour DisplayBattery Life: Up to 12 days (depending on usage)24x7 Heart Rate Monitor | 110+ New Watch FacesSpO2 Blood Oxygen Saturation Monitor | Body & Skin Temperature SensorSleep Monitoring | IP68 Water ResistantUltra Light weight & Ergonomic design | Hassle free Magnetic Fast ChargingTouchscreenFitness & Outdoor, Health & MedicalBattery Runtime: Upto 12 days1 Year Carry-in Warranty
https://rukminim1.flixcart.com/image/312/312/l5ld8y80/smartwatch/n/i/m/-original-imagg8dddyyzjnxn.jpeg?q=70	Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch	₹2,999	1.8 display (500 nits brightness)| Bluetooth calling| AI voice assistant100+ cloud-based watch faces| In-built gamesNoise Health SuiteTM (SpO2, 24*7 heart rate tracking, sleep monitor & activity tracker)60 sports modes| IP67 waterproof | 7-day batteryUtility features (stopwatch, alarm, timer, weather, find my phone, camera & music controls)NoiseFit Track appWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/l0igvww0/smartwatch/5/0/h/-original-imagcahjyrahgcd8.jpeg?q=70	realme TechLife Watch S100 1.69 HD Display with Temperature Sensor Smartwatch	₹1,999	4.3 cm (1.69 inch) TFT-LCD Super Bright HD Colour DisplayBattery Life: Up to 12 days (depending on usage)24x7 Heart Rate Monitor | 110+ New Watch FacesSpO2 Blood Oxygen Saturation Monitor | Body & Skin Temperature SensorSleep Monitoring | IP68 Water ResistantUltra Light weight & Ergonomic design | Hassle free Magnetic Fast ChargingTouchscreenFitness & Outdoor, Health & MedicalBattery Runtime: Upto 12 days1 Year Carry-in Warranty
https://rukminim1.flixcart.com/image/312/312/kzx1a4w0/smartwatch/d/l/c/-original-imagbtfvtc4aesjf.jpeg?q=70	DIZO Watch 2 Sports (by realme TechLife)	₹1,799	"4.3 cm (1.69""), Bright Full Touch Screen110+ Sports ModeBlood Oxygen & Heart Rate Monitor5 ATM Water Resistance150+ Stylish Watch FacesTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days12 Month from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/kzx1a4w0/smartwatch/a/o/n/-original-imagbtfvgkavrwzk.jpeg?q=70	DIZO Watch 2 Sports (by realme TechLife)	₹1,799	"4.3 cm (1.69""), Bright Full Touch Screen110+ Sports ModeBlood Oxygen & Heart Rate Monitor5 ATM Water Resistance150+ Stylish Watch FacesTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days12 Month from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/ky0g58w0/smartwatch/d/p/5/-original-imagac7hghz4nnxw.jpeg?q=70	Noise ColorFit Caliber Smartwatch	₹1,999	"4.2 cm (1.69"") LCD full touch screen150+ customizable and cloud based watch faces60 Sports Mode|Body Temperature sensorIP68 water resistantQuick replies (Android only)Blood oxygen, Heart rate monitor, Stress monitor and sleep monitorTouchscreenFitness & OutdoorBattery Runtime: Upto 15 days1 Year Manufacturer Warranty"
https://rukminim1.flixcart.com/image/312/312/kzsqykw0/smartwatch/y/j/z/1-69-android-ios-dw2121-dizo-no-original-imagbq9a3zeuagxv.jpeg?q=70	DIZO Watch 2 Sports (by realme TechLife)	₹1,799	"4.3 cm (1.69""), Bright Full Touch Screen110+ Sports ModeBlood Oxygen & Heart Rate Monitor5 ATM Water Resistance150+ Stylish Watch FacesTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days12 Month from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/kzx1a4w0/smartwatch/l/b/i/-original-imagbtfvm9n3kzwt.jpeg?q=70	DIZO Watch 2 Sports (by realme TechLife)	₹1,799	"4.3 cm (1.69""), Bright Full Touch Screen110+ Sports ModeBlood Oxygen & Heart Rate Monitor5 ATM Water Resistance150+ Stylish Watch FacesTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days12 Month from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/kzx1a4w0/smartwatch/p/n/f/-original-imagbtfvgsrgytag.jpeg?q=70	DIZO Watch 2 Sports (by realme TechLife)	₹1,799	"4.3 cm (1.69""), Bright Full Touch Screen110+ Sports ModeBlood Oxygen & Heart Rate Monitor5 ATM Water Resistance150+ Stylish Watch FacesTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days12 Month from the Date of Purchase"
https://rukminim1.flixcart.com/image/312/312/kgb5rbk0/smartwatch/n/z/3/436737-android-ios-sinnux-original-imafwk2mdsugmetg.jpeg?q=70	TXOR STORM M5 With Heart Rate, SPO2 & BP Monitor 35 mm Screen Black Smartwatch	₹629	TouchscreenFitness & OutdoorBattery Runtime: Upto 8 days6 Months | Manufacturing Defects
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/k/o/m/-original-imaghudxbdyb5gy7.jpeg?q=70	Pebble Cosmos Ultra 1.91 inch High Resolution Curved Display with Ultra-Thin Dial Smartwatch	₹2,999	1.91 inch High-Resolution Infinite Display with Curved Edges | 600 Nits Brightness| Answer and make calls with Bluetooth directly from your watch - Call, Message & Social Media NotificationBlood-oxygen monitoring (SPO2), 24*7 Heart rate monitoring, Sedentary alert| IP67 waterproof standard, AI Voice Assistant (Google & Siri)| Inbuilt 10+ watch faces and 100+ cloud-based watch faces | Information, Inbuilt gamesAlways on rotating display when charging | Social media contacts sharing by scanning QR Code| Active Rotating Crown, Calculator, Smart password screen lock, Stopwatch, WeatherBattery up to 5 days, Stand by up to 15 DaysWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days
https://rukminim1.flixcart.com/image/312/312/kxgfzbk0/smartwatch/k/n/y/-original-imag9wz384kvusv3.jpeg?q=70	realme Smart Watch 2 with Superbright HD Display & 90 Sports Modes Smartwatch	₹1,999	3.5cm (1.4 inch) Large Color DisplayContinuous Heart Rate & SpO2 Blood Oxygen MonitorIP68 Water Resistant with 90 Sport Modes100+ Stylish Watch Faces to be Updated via OTAMagnetic Charging Base for Hassle-free ChargingCapacitive TouchscreenTouchscreenFitness & OutdoorBattery Runtime: Upto 12 days
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/n/z/t/-original-imaggwa9zr4kwhzt.jpeg?q=70	"Fire-Boltt Epic, 1.69"" HD Display with SPO2 Smartwatch"	₹1,999	"1.69"" HD Display with 2.5D Curved Glass | 240*280 Pixel High Resolution120 Sports Modes to Track with IP68 Water Resistant| Customised Wallpaper Option | Match Your DailyOutfit with 100+ Cloud FacesSmart Health Monitoring - Track SpO2, Heart Rate while your workoutSocial App Notifications & Reminders - Never miss important calls and updates| Remote control Camera & Player click numerous pictures on the goTouchscreenFitness & OutdoorBattery Runtime: Upto 7 daysCovers Manufacturing Defects"
https://rukminim1.flixcart.com/image/312/312/ku1k4280/smartwatch/f/z/k/android-ios-wrb-sw-colorfitqubeoxy-std-rgld-pnk-noise-no-original-imag79y4dphr2wrj.jpeg?q=70	Noise ColorFit Qube SpO2 Smartwatch	₹1,499	TouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty
https://rukminim1.flixcart.com/image/312/312/xif0q/smartwatch/b/c/k/-original-imaggxudkjffgfmd.jpeg?q=70	Fire-Boltt Ninja Calling Pro Bluetooth Calling Smartwatch 1.69 inch HD Display Smartwatch	₹2,499	Bluetooth Calling Smartwatch - Make & Receive calls on the go through the watch | 120 Sports Modes to Track with IP67 Water Resistant1.69 HD Display with 2.5D Curved Glass | 240*280 Pixel High ResolutionCustomised Wallpaper Option | Match Your Daily Outfit with 100+ Cloud FacesSmart Health Monitoring - Track SpO2, Heart Rate while your workoutSocial App Notifications & Reminders - Never miss important calls and updates | Remote control Camera & PlayerWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 5 daysCovers Manufacturing Defects
https://rukminim1.flixcart.com/image/312/312/l27wtjk0/smartwatch/j/d/r/1-69-bsw040-android-ios-fire-boltt-yes-original-imagdmfftr3xygup.jpeg?q=70	Fire-Boltt Ninja Bell Bluetooth Calling & AI Voice Assistance Smartwatch Smartwatch	₹2,499	1.69 LCD Display- OGS Full Touch Display with a High Resolution of 240*280 Pixel & 1.69 inch LCD Screen covered with a 2D High Hard GlassBluetooth Calling Smartwatch- Answer & Make Calls Directly from The Smartwatch with In Built Speaker & Microphone Listen to Songs and Enjoy HD Calls on this smartwatch. Split Display Easy Access- You can easily in one click land on any function without the need to search it from the menu.Voice Assistant- Command your mobile phone with your smartwatch,Play Games On Your Wrist 60 Sports Modes IP68 Water Resistant- Withstand dust, spills, raindrops,sweatproofWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 25 daysCovers Manufacturing Defects
